Modele,RMSE,RMSE pondere,MAE,MAE pondere,R2,R2 pondere,RMSE non optimise,MAE non optimise,R2 non optimise
OLS,1.0093404771204926 ,0.950956833311733 ,0.7782517369740743 ,0.7408228864420102 ,0.17847479351983087 ,0.18874652560328664 ,,,
WLS,1.0218987049143744 ,0.9471269230952145 ,0.781297963193813 ,0.730983596451133 ,0.15790476303905687 ,0.1952678969113706 ,,,
OLS transformation log,1.028405308292759 ,0.9562740485672303 ,0.7866010153454114 ,0.7376658271996612 ,0.1471470957218185 ,0.17964901699691083 ,,,
Random Forest,0.9079985235099308 ,0.8521188235683891 ,0.6953883359718158 ,0.6596958231968687 ,0.33516205560271184 ,0.3486187083566963 ,0.9363813635739735 ,0.7185335306306802 ,0.29294851874703154 
Gradient Boosting,0.8977780352290679 ,0.8436982559685089 ,0.687832830385685 ,0.6523908736505681 ,0.3500447364645646 ,0.36142889137320855 ,0.8699405993037529 ,0.671747536015982 ,0.32108694229878987 
Reseau de neurones,0.974751606291431 ,0.9232293864674661 ,0.7412991336308156 ,0.706134680952551 ,0.2338153755173672 ,0.23536494928244467 ,,,
